bibkey	reference
Benton2000	Benton, Forbes and Donald Claugher. “The structure and surface properties of the eggshell of Megaselia imitatrix Borgmeier (Diptera, Phoridae) in relation to the respiration of the embryo”. Physiological Entomology 25.2. issn: 1365-3032 (2000): 133–140. Print.	
berg1940external	Berg, V L. “The external morphology of the immature stages of the bee fly, Systoechus vulgaris Loew, (Diptera, Bombyliidae), a predator of grasshopper egg pods”. The Canadian Entomologist 72.9 (1940): 169–178. Print.	
bernard1979egg	Bernard, Ernest C. “Egg types and hatching of Eosentomon Berlese (Protura: Eosentomidae)”. Transactions of the American Microscopical Society (1979): 123–126. Print.	
Bernhardt2009	Bernhardt, John L. “Color changes and development of eggs of rice stink bug (Hemiptera: Pentatomidae) in response to temperature”. Annals of the Entomological Society of America 102.4. issn: 0013-8746 (2009): 638–641. Print.	
Berrigan1991	Berrigan, David. “The allometry of egg size and number in insects”. Oikos 60.3 (1991). Print.	
Berte1986	Berté, Stephen B and Gordon Pritchard. “The life histories of Limnephilus externus Hagen, Anabolia bimaculata (Walker), and Nemotaulius hostilis (Hagen) (Trichoptera, Limnephilidae) in a pond in southern Alberta, Canada”. Canadian Journal of Zoology 64.10. issn: 0008-4301 (1986): 2348–2356. Print.	
Betz2001	Betz, Oliver and Sonja Fuhrmann. “Life history traits in different life forms of predaceous Stenus beetles (Coleoptera, Staphylinidae), living in waterside environments”. Netherlands Journal of Zoology 51.4. issn: 1568-542X (2001): 371–393. Print.	
Betz2001a	“Life history traits in different life forms of predaceous Stenus beetles (Coleoptera, Staphylinidae), living in waterside environments”. Netherlands Journal of Zoology 51.4. issn: 1568-542X (2001): 371–393. Print.	
bey1935descriptions	Bey-Bienko, G. “Descriptions of six new species of Palearctic Blattodea”. Konowia 14 (1935): 117–134. Print.	
Bianchi2011a	Bianchi, Filipe Michels, et al. “External morphology of the egg and the first and fifth instars of Cyrtocoris egeris Packauskas & Schaefer (Hemiptera: Heteroptera: Pentatomidae: Cyrtocorinae)”. Zootaxa 2991 (2011): 29–34. Print.	
Biasotto2013	Biasotto, Larissa Donida, Filipe Michels Bianchi, and Luiz Alexandre Campos. “Morphology of immatures of Euschistus (Mitripus) grandis (Insecta: Hemiptera: Pentatomidae)”. Zoologia (Curitiba) 30.3. issn: 1984-4670 (2013): 346–352. Print.	
Bicchierai2000	Bicchierai, Maria Clara and Elda Gaino. “Fine structure of the egg envelopes in Silo mediterraneus saturniae (Trichoptera, Goeridae)”. Italian Journal of Zoology 67.2. issn: 1125-0003 (2000): 141–146. Print.	
bielenin1955early	Bielenin, I. “Early stages of embryonic development in the weevil Polydrosus pterygomalis Boh. (Coleoptera: Curculionidae)”. Polskie pismo Entomologiczne 25.7 (1955): 93–113. Print.	
Biemont1981	Biemont, J C, G Chauvin, and C Hamon. “Ultrastructure and resistance to water loss in eggs of Acanthoscelides obtectus Say (Coleoptera: Bruchidae)”. Journal of Insect Physiology 27.10. issn: 0022-1910 (1981): 667–679. Print.	
birchard1991water	Birchard, Geoffrey F. “Water vapor and oxygen exchange of praying mantis (Tenodera aridifolia sinensis) egg cases”. Physiological Zoology 64.4 (1991): 960–972. Print.	
Bittencourt2004	Bittencourt, Maria A L and Evoneo Berti Filho. “Development of immature stages of Palmistichus elaeisis Delvare & LaSalle (Hymenoptera, Eulophidae) in Lepidoptera pupae”. Revista Brasileira de Entomologia 48.1. issn: 0085-5626 (2004): 65–68. Print.	
Blackburn1990	Blackburn, T M. “Comparative and experimental studies of animal life history variation”. Diss. 1990. Print.	
Bledsoe1983	Bledsoe, L W, R V Flanders, and C R Edwards. “Morphology and development of the immature stages of Pediobius foveolatus (Hymenoptera: Eulophidae)”. Annals of the Entomological Society of America 76.6. issn: 0013-8746 (1983): 953–957. Print.	
Blokhina2006	Blokhina, A V, N A Rozhkova, and O A Timoshkin. “Phenological peculiarities and evolution of Baicalina bellicosa Mart. (Trichoptera, Apataniidae)–an endemic species of Lake Baikal”. Hydrobiologia 568.1. issn: 0018-8158 (2006): 103–106. Print.	
CLARK1984	Blom, Paul E and William H Clark. “Phobetus desertus, a new melolonthine Scarabaeidae (Coleoptera) from the Central Desert of Baja California, Mexico”. The Pan-Pacific Entomologist 60.4 (1984): 304–312. Print.	
Blume1982	Blume, Richard R. “Description of larva and notes on biology of Pseudocanthon perplexus (LeConte) (Coleoptera: Scarabaeidae)”. The Coleopterists’ Bulletin. issn: 0010-065X (1982): 250–254. Print.	
bock1939bildung	Bock, Eberhard. “Bildung und Differenzierung der Keimblätter bei Chrysopa perla (L.)” Zoomorphology 35.4 (1939): 615–700. Print.	
Bohart1960	Bohart, George E, W P Stephen, and R K Eppley. “The biology of Heterostylum robustum (Diptera: Bombyliidae), a parasite of the alkali bee”. Annals of the Entomological Society of America 53.3. issn: 0013-8746 (1960): 425–435. Print.	
BOHART1972	Bohart, George E and Nabil N Youssef. “Notes on the biology of Megachile (Megachiloides) umatillensis Mitchell (Hymenoptera: Megachilidae) and its parasites”. Transactions of the Royal Entomological Society of London 124.1. issn: 1365-2311 (1972): 1–19. Print.	
Boivin1993	Boivin, G, C Picard, and J L Auclair. “Preimaginal development of Anaphes n. sp. (Hymenoptera: Mymaridae), an egg parasitoid of the carrot weevil (Coleoptera: Curculionidae)”. Biological Control 3.3. issn: 1049-9644 (1993): 176–181. Print.	
Boivin2009	Boivin, Guy. “Reproduction and immature development of egg parasitoids”. Egg Parasitoids in Agroecosystems with Emphasis on Trichogramma. 2009. 1–23. Print.	
Boivin2009a	Boivin, Guy and Marie-Josée Gauvin. “Egg size affects larval performance in a coleopteran parasitoid”. Ecological Entomology 34.2. issn: 1365-2311 (2009): 240–245. Print.	
Boivin2003	Boivin, Guy and Jean-Pierre Nénon. “Variability and inheritance of the chorionic tubercles on eggs of Listronotus oregonensis (Coleoptera: Curculionidae)”. The Canadian Entomologist 135.6. issn: 1918-3240 (2003): 765–774. Print.	
Bologna2003	Bologna, M A and A Di Giulio. “Egg and first instar larval morphology of Prionotolytta binotata (Péringuey, 1888), an endemic southern African species (Coleoptera: Meloidae)”. African Entomology 11.2. issn: 1021-3589 (2003): 213–219. Print.	
Bonduriansky1999	Bonduriansky, Russell and Ronald J Brooks. “Reproductive allocation and reproductive ecology of seven species of Diptera”. Ecological Entomology 24.4. issn: 1365-2311 (1999): 389–395. Print.	
Boring2011	Boring, Charles Andrew, Barbara J Sharanowski, and Michael J Sharkey. “Maxfischeriinae: a new braconid subfamily (Hymenoptera) with highly specialized egg morphology”. Systematic Entomology 36.3. issn: 1365-3113 (2011): 529–548. Print.	
BOUOEK1956	Boucek, Zdenek. “A contribution to the biology of Eucharis adscendens (F.) (Hymenoptera)”. Vestnik Ceskoslovenske Zoologicke Spolecoenosti 28 (1956): 97–99. Print.	
Boudou-Saltet1980	Boudou-Saltet, P. “Oeuf, ponte et eclosion chez un Orthoptère cavernicole (Dolichopoda linderi Duf. Orth., Rhaph.)” Le Bulletin de la Société d’Histoire naturelle de Toulouse 116 (1980): 44–51. Print.	
Bradley1982	Bradley, E L, et al. “Surface patterns of eggs of some cone-infesting Lepidoptera of Southeastern United States [Dioryctria, Eucosma and Cydia (= Laspeyresia), pests of Pinus spp.]” Journal of the Georgia Entomological Society. issn: 0016-8238 (1982). Print.	
Bradshaw1993	Bradshaw, William E, Christina M Holzapfel, and Timothy O’Neill. “Egg size and reproductive allocation in the pitcherplant mosquito Wyeomyia smithii (Diptera: Culicidae)”. Journal of Medical Entomology 30.2. issn: 0022-2585 (1993): 384–390. Print.	
bragg2007description	Bragg, P E. “A description of the male and egg of Sipyloidea acutipennis (Bates, 1865) (Diapheromeridae: Necrosciinae)”. The Phasmid Study Group 16.1 (2007). Print.	
bragg1995new	“A new species of Lopaphus Westwood, described from Borneo (Insecta: Phasmida: Heteronemiidae: Necrosciinae)”. Zoologische Mededelingen, Leiden 69.9 (1995): 105–111. Print.	
bragg2006new	“A new subgenus of Orthomeria Kirby, 1904 and a new species from Danum Valley, Sabah”. Phasmid Studies 14.1 (2006): 12–19. Print.	
bragg2007redescription	“A redescription of Sosibia lysippus (Westwood, 1859)”. The Phasmid Study Group (2007). Print.	
bragg1994review	“A review and key to the genus Phenacephorus Brunner (Insecta: Phasmida: Heteronemiidae: Lonchodinae), including the description of two new species”. Zoologische Mededelingen Leiden 68.22 (1994): 231–248. Print.	
bragg1995review	“A review of the subfamily Korinninae (Phasmida: Pseudophasmatidae), with the description of a new species”. Tijdschrift voor Entomologie 138.1 (1995): 45–50. Print.	
bragg1993new	“New synonyms and new records of phasmids (Insecta: Phasmida) in Borneo”. Raffles Bulletin of Zoology 41.1 (1993): 31–46. Print.	
bragg2008notes	“Notes on Necroscia affinis (Gray, 1835), Necroscia fragilis (Redtenbacher, 1908) and Necroscia pallida (Redtenbacher, 1908)”. The Phasmid Study Group 17.1 (2008). Print.	
bragg2008first	“The first description of the male and egg of Syringodes rubicundus (de Haan, 1842) (Phasmida: Diapheromeridae: Necrosciinae)”. Zoologische Mededelingen 82 (2008). Print.	
BRAHAM	Braham, Med and T Jardak. “Contribution a L’etude de la bio-ecologie du scolyte du pistachier Chaetoptelius vestitus muls & rey (Coleoptera, Scolytidae) dans les regions du centre et du sud tunisiens”. Revue Ezzaitouna (2012). Print.	
brauer1925studies	Brauer, Alfred. “Studies on the embryology of Bruchus quadrimaculatus, Fabr”. Annals of the Entomological Society of America 18.3 (1925): 283–312. Print.	
breland1941podagrion	Breland, Osmond P. “Podagrion mantis Ashmead and other parasites of praying mantid egg cases (Hym.: Chalcidoidea; Dipt.: Chloropidae)”. Annals of the Entomological Society of America 34.1 (1941): 99–113. Print.	
breland1947specificity	Breland, Osmond P and Jack W Dobson. “Specificity of mantid oothecae (Orthoptera: Mantidae)”. Annals of the Entomological Society of America 40.4 (1947): 557–575. Print.	
bresseel2017picasso	Bresseel, J and J Constant. “The Picasso stick insect: A striking new species of Calvisia from Vietnam”. Belgian Journal of Entomology (2017). Print.	
bresseel2013comments	Bresseel, Joachim. “Comments on the genus Neoclides Uvarov, 1940 with the description of a new species (Phasmatodea: Diapheromerinae: Necrosciinae)”. Polish Journal of Entomology 82.1 (2013): 3–11. Print.	
bresseel2014giant	Bresseel, Joachim and Jérôme Constant. “Giant sticks from Vietnam and China, with three new taxa including the second longest insect known to date (Phasmatodea, Phasmatidae, Clitumninae, Pharnaciini)”. European Journal of Taxonomy 104 (2014). Print.	
Bridges1970	Bridges, E T and B C Pass. “Biology of Draeculacephala mollipes (Homoptera: Cicadellidae)”. Annals of the Entomological Society of America 63.3. issn: 0013-8746 (1970): 789–792. Print.	
Brittain1984	Brittain, J E, A Lillehammer, and S J Saltveiti. “The effect of temperature on intraspecific variation in egg bio logy and nymphal size in the stonefly Capnia atra (Plecoptera)”. The Canadian Entomologist 115 (1984): 1465–1476. Print.	
Britton1966	Britton, E B. “On the larva of Sphaerius and the systematic position of the Sphaeriidae (Coleoptera)”. Australian Journal of Zoology 14.6. issn: 1446-5698 (1966): 1193–1198. Print.	
brock2000studies	Brock, Paul D. “Studies on Australian stick-insects of the family Heteronemiidae, subfamily Lonchodinae, including the description of a new genus”. Journal of Orthoptera Research (2000): 51–55. Print.	
brock2001studies	“Studies on the Australasian stick-insect genus Extatosoma Gray (Phasmida: Phasmatidae: Tropoderinae: Extatosomatini)”. Journal of Orthoptera Research 10.2 (2001): 303–313. Print.	
brock1998studies	“Studies on the stick-insect genus Eurycnema Audinet-Serville (Phasmida; Phasmatidae) with particular reference to Australian species”. Journal of Orthoptera Research (1998): 61–70. Print.	
brock2004taxonomic	“Taxonomic notes on giant southern African stick insects (Phasmida), including the description of a new Bactrododema species”. Annals of the Transvaal Museum 41.1 (2004): 61–77. Print.	
brock2006three	“Three new species of South African stick insects (Phasmida)”. Journal of Orthoptera Research 15.1 (2006): 37–44. Print.	
brock11review	Brock, Paul D and Nicolas Cliquennois. “A review of the genus Medaura Stal, 1875 (Phasmatida: Phasmatinae) including the description of a new species from Bangladesh”. Phasmid Studies 9.1 & 2 (2000): 11–26. Print.	
brock2005studies	Brock, Paul D and Jack Hasenpusch. “Studies on the Australian stick-insect genus Onchestus Stål (Phasmida: Phasmatidae)”. Journal of Orthoptera Research 14.1 (2005): 17–22. Print.	
brock2002studies	“Studies on the leaf insects (Phasmida: Phylliidae) of Australia”. Journal of Orthoptera Research 11.2 (2002): 199–205. Print.	
brock1998study	Brock, Paul D and Lyn Lowe. “A Study of Stick-insects (Phasmida) from Kakadu National Park, Northern Territory, Australia”. Journal of Orthoptera Research (1998): 71–76. Print.	
brock1994stick	Brock, Paul D and Alex Shlagman. “The stick-insects (Phasmatodea) of Israel, including the description of a new species”. Israel Journal of Entomology 28 (1994): 101–107. Print.	
bronskill1964embryogenesis	Bronskill, Joan F. “Embryogenesis of Mesoleius tenthredinis Morl.(Hymenoptera: Ichneumonidae)”. Canadian Journal of Zoology 42.3 (1964): 439–453. Print.	
bronskill1959embryology	“Embryology of Pimpla turionellae (L.) (Hymenoptera: Ichneumonidae)”. Canadian Journal of Zoology 37.5 (1959): 655–688. Print.	
Brothers1978	Brothers, Denis J. “Biology and immature stages of Myrmosula parvula (Hymenoptera: Mutillidae)”. Journal of the Kansas Entomological Society. issn: 0022-8567 (1978): 698–710. Print.	
Brown2003	Brown, G C, M J Sharkey, and D W Johnson. “Bionomics of Scymnus (Pullus) louisianae J. Chapin (Coleoptera: Coccinellidae) as a predator of the soybean aphid, Aphis glycines Matsumura (Homoptera: Aphididae)”. Journal of Economic Entomology 96.1. issn: 0022-0493 (2003): 21–24. Print.	
Brown1970a	Brown, Harley P. “Neocylloepus, a new genus from Texas and Central America (Coleoptera: Dryopoidea: Elmidae)”. The Coleopterists’ Bulletin. issn: 0010-065X (1970): 1–29. Print.	
Brown1952a	“The life history of Climacia areolaris (Hagen), a Neuropterous’ parasite’of fresh water sponges”. American Midland Naturalist. issn: 0003-0031 (1952): 130–160. Print.	
Brown1970	Brown, Harley P and Chad M Murvosh. “Lutrochus arizonicus new species, with notes on ecology and behavior (Coleoptera, Dryopoidea, Limnichidae)”. Annals of the Entomological Society of America 63.4. issn: 0013-8746 (1970): 1030–1035. Print.	
Brown1991	Brown, K W and J T Doyen. “Review of the genus Microschatia (Solier) (Tenebrionidae: Coleoptera)”. Journal of the New York Entomological Society. issn: 0028-7199 (1991): 539–582. Print.	
Brown1973	Brown, Valerie K. “The biology and development of Brachygaster minutus Olivier (Hymenoptera: Evaniidae), a parasite of the oothecae of Ectobius spp.(Dictyoptera: Blattidae)”. Journal of Natural History 7.6. issn: 0022-2933 (1973): 665–674. Print.	
